Year,Electricity Access,Participation of Labor,Male Life Expectancy,Female Expectancy,Rural Population,Age of Population[15-64],Market Capitalization,Total Employers,Industry Employment,Exports,FDI,GDP Growth,Annual Growth
1992,1.83,63.80,54.12,54.66,82.04,52.81, ,0.03,1.88, ,0.00,4.60,15.03
1993,3.68,63.54,54.89,55.40,81.21,52.69, ,0.03,1.88, ,0.00,1.99,1.32
1994,8.18,63.26,55.66,56.13,80.35,52.57, ,0.04,1.99, ,0.00,4.95,7.04
1995,12.68,62.96,56.43,56.88,79.46,52.36, ,0.15,2.07, ,0.02,7.07,15.96
1996,17.16,63.22,57.22,57.64,78.54,52.81, ,0.15,2.08, ,0.44,5.57,3.58
1997,21.63,63.54,58.03,58.43,77.60,53.27, ,0.15,1.92, ,-0.19,5.37,-0.84
1998,26.08,63.95,58.86,59.24,76.62,53.77, ,0.14,1.97, , ,5.91,4.69
1999,30.51,64.48,59.71,60.08,75.62,54.37, ,0.15,2.10, ,0.25,7.98,15.08
2000,34.92,65.16,60.57,60.94,74.58,55.12, ,0.16,2.26, , ,6.93,7.26
2001,39.31,66.36,61.43,61.81,73.52,56.30, ,0.17,2.62,-1.44, ,8.20,12.76
2002,43.68,67.63,62.29,62.67,72.43,57.57, ,0.19,2.71,2.92,0.45,10.73,16.76
2003,41.10,68.84,63.12,63.51,71.31,58.87, ,0.19,2.72,16.26,0.54,7.66,9.61
2004,52.42,69.90,63.92,64.32,70.17,60.12, ,0.19,3.71,27.72,1.26,5.90,2.03
2005,59.81,70.73,64.68,65.07,69.04,61.28, ,0.18,4.82,34.35,0.76,7.12,3.78
2006,61.18,71.18,65.37,65.77,68.29,62.18, ,0.19,7.55,51.67,0.68,6.85,8.84
2007,71.80,71.48,66.02,66.39,67.53,63.02, ,0.28,6.12,15.77,6.17,17.93,40.68
2008,70.01,71.64,66.60,66.96,66.76,63.79, ,0.27,6.14,-9.85,0.25,4.77,6.29
2009,74.46,71.70,67.14,67.47,65.99,64.53, ,0.27,6.43,-2.39,1.45,6.66,3.46
2010,73.28,69.83,67.63,67.93,65.21,65.25, ,0.14,6.63,7.52,4.75,11.73,12.48
2011,83.41,67.97,68.07,68.36,64.42,65.80, ,0.23,9.21,3.20,1.71,7.89,4.06
2012,91.50,65.56,68.48,68.78,63.63,66.38, ,0.08,8.65,-2.40,1.34,5.07,6.77
2013,92.40,66.10,68.87,69.19,62.85,66.94, ,0.09,10.96,3.87,1.14,2.14,3.90
2014,96.91,64.39,69.24,69.61,62.08,67.46, ,0.09,10.82,-5.75,1.49,5.75,3.71
2015,98.42,66.61,69.59,70.03,61.32,67.90, ,0.09,9.66,-3.53,0.52,6.60,8.22
2016,100.00,66.53,69.93,70.46,60.57,68.28, ,0.09,9.58,-1.75,0.36,7.99,6.79
