Year,Electricity Access,Participation of Labor,Male Life Expectancy,Female Life Expectancy,Rural Population,Age of Population[15-64],Market Capitalization,Total Employers,Industry Employment,Exports,FDI,GDP,Annual Growth
1992,56.34,57.41,66.46,73.26,81.50,63.20, ,2.15,20.01,6.70,1.26,4.40,6.55
1993,58.04,57.54,66.39,73.16,81.51,63.57, ,2.05,21.15,13.20,1.88,6.90,9.36
1994,59.73,57.68,66.23,73.03,81.53,63.98, ,2.30,20.12,13.10,1.42,5.60,7.84
1995,61.41,55.62,66.05,72.91,81.54,64.45, ,2.51,24.82,2.90,0.43,5.50,6.93
1996,63.09,55.80,65.95,72.93,81.56,64.90, ,2.41,23.27,3.90,0.86,3.80,5.23
1997,64.74,55.97,66.01,73.12,81.57,65.44, ,2.39,24.32,11.69,2.85,6.41,7.40
1998,66.38,59.51,66.30,73.53,81.59,66.02, ,1.88,23.08,0.97,1.22,4.70,5.69
1999,67.99,57.89,66.80,74.13,81.60,66.56,10.12,2.05,23.37,3.99,1.13,4.30,4.79
2000,69.59,56.92,67.47,74.87,81.62,67.03,6.58,2.38,23.37,17.99,1.06,6.00,7.23
2001,63.60,56.78,68.22,75.66,81.64,67.28,8.45,2.29,22.80,-5.27,1.09,-1.55,-2.25
2002,80.70,56.67,68.94,76.40,81.65,67.44,10.16,2.79,26.13,6.26,1.19,3.96,0.84
2003,74.28,56.58,69.56,77.00,81.67,67.51,14.36,2.61,25.91,3.36,1.21,5.94,4.67
2004,75.83,56.47,70.04,77.43,81.68,67.55,17.70,2.95,26.46,7.74,1.13,5.45,5.41
2005,77.40,56.33,70.36,77.69,81.70,67.57,23.44,3.08,27.29,6.65,1.12,6.24,7.99
2006,78.97,56.24,70.55,77.80,81.71,67.49,27.48,3.22,26.80,3.84,1.70,7.67,8.12
2007,80.00,56.12,70.66,77.83,81.73,67.44,23.35,2.90,26.37,7.33,1.86,6.80,7.61
2008,82.17,55.96,70.75,77.83,81.74,67.40,10.53,3.04,25.62,0.39,1.85,5.95,5.92
2009,83.81,55.76,70.83,77.83,81.76,67.35,22.69,2.69,25.84,-12.31,0.96,3.54,4.21
2010,85.30,54.72,70.93,77.86,81.77,67.25,35.12,2.66,24.89,8.76,0.84,8.02,8.44
2011,87.76,54.37,71.06,77.93,81.79,67.03,29.77,2.90,24.13,10.20,1.46,8.40,9.25
2012,88.81,53.46,71.20,78.02,81.80,66.78,24.80,2.89,26.07,-0.18,1.38,9.14,9.03
2013,90.20,55.04,71.35,78.13,81.80,66.53,25.31,3.10,26.16,6.64,1.26,3.40,4.10
2014,92.19,54.09,71.52,78.27,81.78,66.31,29.82,2.81,26.47,4.26,1.13,4.96,4.70
2015,93.89,53.88,71.71,78.44,81.74,66.13,25.83,2.79,25.53,4.66,0.84,5.01,2.21
2016,95.59,53.76,71.91,78.61,81.69,66.02,22.84,2.81,25.45,-0.74,1.10,4.47,5.80
