Year	Electricity Access	Participation of Labor	Male Life Expectancy	Female Life Expectancy	Age of Population[15-64]	Rural Population	Market Capitalization	Total Employers	Industry Employment	Exports	FDI	GDP Growth	Industry Growth
1992	13.44	56.45	59.34	60.09	55.26	79.39	 	0.51	12.49	21.85	0.01	5.44	6.99
1993	15.89	56.5	60.06	60.77	55.71	79.03	1.4	0.51	12	16.39	0.04	4.71	8.09
1994	17.8	56.6	60.81	61.47	56.2	78.67	3.02	0.53	11.28	3.68	0.03	3.89	8.13
1995	20.76	56.74	61.59	62.17	56.71	78.31	5.08	0.52	10.45	30.72	0	5.12	10.13
1996	23.18	56.83	62.36	62.88	57.15	77.94	15.9	0.53	9.78	8.08	0.03	4.52	6.74
1997	22.4	56.98	63.09	63.6	57.62	77.56	5.74	0.53	9.96	14.32	0.29	4.49	5.23
1998	27.97	57.16	63.79	64.3	58.1	77.18	4.06	0.54	10.36	12.27	0.38	5.18	8.73
1999	30.34	57.33	64.42	65	58.6	76.8	3.05	0.19	10.48	2.25	0.35	4.67	5.24
2000	32	57.47	64.99	65.68	59.11	76.41	4.11	0.19	10.7	14.4	0.53	5.29	6.26
2001	35	57.54	65.5	66.33	59.51	75.9	1.81	0.19	11.63	14.9	0.15	5.08	7.46
2002	37.31	57.59	65.98	66.95	59.94	75.24	27.21	0.19	12.71	-0.16	0.1	3.83	5.8
2003	39.61	57.62	66.42	67.54	60.38	74.57	 	0.19	13.68	-1.7	0.45	4.74	6.58
2004	40.6	57.62	66.85	68.11	60.84	73.89	 	0.19	14.03	85.61	0.69	5.24	7.05
2005	44.23	57.61	67.25	68.66	61.3	73.19	4.75	0.19	14.52	43	1.1	6.54	7.93
2006	50.53	57.48	67.64	69.22	61.64	72.48	5.36	0.2	14.52	25.48	0.64	6.67	9.8
2007	46.5	57.35	68.01	69.78	62	71.76	10.97	0.2	15.06	12.98	0.82	7.06	9.03
2008	51.25	57.23	68.36	70.36	62.39	71.03	12.79	0.21	15.76	7.08	1.45	6.01	7.03
2009	53.63	57.1	68.7	70.94	62.79	70.29	20.42	0.23	16.71	0.03	0.88	5.05	6.91
2010	55.26	56.99	69.02	71.52	63.2	69.54	36.1	0.23	17.63	0.94	1.07	5.57	7.03
2011	59.6	56.88	69.34	72.09	63.66	68.78	37.08	2.41	17.74	29.34	0.98	6.46	9.02
2012	60.88	56.79	69.66	72.62	64.11	68.01	 	2.46	18.79	12.53	1.19	6.52	9.44
2013	61.5	56.7	69.97	73.1	64.56	67.24	 	2.56	20.79	2.45	1.74	6.01	9.64
2014	62.4	56.62	70.28	73.55	65.04	66.47	 	2.64	20.17	3.2	1.47	6.06	8.16
2015	68.2	56.53	70.59	73.94	65.54	65.69	 	2.69	20.46	-2.83	1.45	6.55	9.67
2016	75.92	56.44	70.89	74.29	66.02	64.92	31.8	2.8	20.84	2.2	1.05	7.11	11.09
